location,name,gu
서울특별시 송파구 올림픽로 240,롯데백화점 잠실점,송파구
서울특별시 영등포구 경인로 846,롯데백화점 영등포점,영등포구
서울특별시 노원구 동일로 1414,롯데백화점 노원점,노원구
서울특별시 강남구 도곡로 401,롯데백화점 강남점,강남구
서울특별시 광진구 능동로 92,롯데백화점 스타시티점,광진구
서울특별시 중구 을지로 30,롯데백화점 본점,중구
서울특별시 동대문구 왕산로 214,롯데백화점 청량리점,동대문구
서울특별시 관악구 봉천로 209,롯데백화점 관악점,관악구
서울특별시 강북구 도봉로 62,롯데백화점 미아점,강북구
서울특별시 송파구 올림픽로 300,롯데백화점 에비뉴엘 월드타워점,송파구
서울특별시 중구 남대문로 67,롯데백화점영플라자명동점,중구
서울특별시 강서구 하늘길 77,롯데백화점 김포공항점,강서구
서울특별시 구로구 경인로,현대백화점 디큐브시티점,구로구
서울특별시 강남구 테헤란로 517,현대백화점 무역센터점,강남구
서울특별시 강동구 천호대로 1005,현대백화점 천호점,강동구
서울특별시 서대문구 연세로 13,현대백화점 유플렉스 신촌점,서대문구
서울특별시 양천구 목동동로 257,현대백화점 목동점,양천구
서울특별시 서대문구 신촌로 83,현대백화점 신촌점,서대문구
서울특별시 강남구 압구정로 165,현대백화점 압구정본점,강남구
서울특별시 성북구 동소문로 315,현대백화점 미아점,성북구
서울특별시 양천구 목동동로 257,현대백화점 유플렉스목동점,양천구
서울특별시 강남구 영동대로 513,현대백화점유플렉스무역센터점,강남구
서울특별시 중구 소공로 63,신세계백화점 본점,중구
서울특별시 영등포구 영중로 9,신세계백화점 영등포점,영등포구
서울특별시 서초구 신반포로 176,신세계백화점 강남점,서초구
