,location,name,gu,위도,경도
0,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",의료법인동신의료재단 동신병원,서대문구,37.5812887,126.9364294
1,서울특별시 서대문구 연세로 50-1 (신촌동),학교법인연세대학교의과대학세브란스병원,서대문구,37.564089,126.9389809
2,서울특별시 동작구 보라매로5길 20 (신대방동),서울특별시보라매병원,동작구,37.4932234,126.9244612
3,서울특별시 동작구 흑석로 102 (흑석동),중앙대학교병원,동작구,37.5069754,126.9605231
4,"서울특별시 관악구 남부순환로 1636 (신림동, 남부순환로 1640, 남부순환로 186가길 11)",에이치플러스 양지병원,관악구,37.4838317,126.9329868
5,서울특별시 관악구 관악로 242 (봉천동),강남고려병원,관악구,37.4854731,126.9567663
6,서울특별시 종로구 새문안로 9 (평동),서울적십자병원,종로구,37.567646,126.9681239
7,서울특별시 종로구 새문안로 29 (평동),강북삼성병원,종로구,37.5688719,126.9680775
8,서울특별시 종로구 대학로 101 (연건동),서울대학교병원,종로구,37.5787974,127.0010352
9,서울특별시 종로구 통일로 256 (무악동),세란병원,종로구,37.5773553,126.9586242
10,서울특별시 용산구 대사관로 59 (한남동),순천향대학교 부속 서울병원,용산구,37.5339355,127.0043336
11,서울특별시 성북구 인촌로 73 (안암동5가),학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),성북구,37.5870127,127.0268837
12,서울특별시 강동구 성안로 150 (길동),성심의료재단강동성심병원,강동구,37.5361,127.1353505
13,서울특별시 강동구 동남로 892 (상일동),강동경희대학교의대병원,강동구,37.5534841,127.1576468
14,서울특별시 강동구 진황도로61길 53 (둔촌동),한국보훈복지의료공단 중앙보훈병원,강동구,37.528778,127.1476066
15,서울특별시 중랑구 신내로 156 (신내동),서울특별시서울의료원,중랑구,37.613036,127.0984134
16,서울특별시 중랑구 사가정로49길 53 (면목동),녹색병원,중랑구,37.5835002,127.0861511
17,"서울특별시 중랑구 망우로 511 (망우동, 동부제일병원)",의료법인풍산의료재단동부제일병원,중랑구,37.6007867,127.109078
18,서울특별시 서초구 반포대로 222 (반포동),학교법인가톨릭학원가톨릭대학교서울성모병원,서초구,37.5003974,127.0066599
19,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",인제대학교 상계백병원,노원구,37.6485082,127.0631429
20,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",한국원자력의학원원자력병원,노원구,37.6287791,127.082652
21,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",을지대학교 을지병원,노원구,37.636417,127.069959
22,서울특별시 은평구 통일로 873 (갈현동),의료법인 청구성심병원,은평구,37.6220821,126.9137086
23,서울특별시 구로구 구로동로 148 (구로동),고려대학교의과대학부속구로병원,구로구,37.4922173,126.8849478
24,서울특별시 구로구 경인로 427 (고척동),구로성심병원,구로구,37.5077034,126.8582508
25,서울특별시 중구 서애로1길 17 (묵정동),의료법인 제일의료재단 제일병원,중구,37.5617209,126.9993266
26,서울특별시 중구 을지로 245 (을지로6가),국립중앙의료원,중구,37.5658537,127.0063403
27,서울특별시 중구 마른내로 9 (저동2가),인제대학교 서울백병원,중구,37.5644472,126.9888289
28,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",의료법인성화의료재단  대한병원,강북구,37.6353804,127.0226767
29,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",연세대학교의과대학 강남세브란스병원,강남구,37.4927454,127.0463152
30,"서울특별시 강남구 논현로 566 (역삼동, 역삼동 606-4)",차의과학대학교 강남차병원,강남구,37.5068459,127.0334471
31,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",삼성서울병원,강남구,37.4881568,127.0855952
32,서울특별시 금천구 시흥대로 244 (시흥동),희명병원,금천구,37.4556417,126.9005666
33,서울특별시 도봉구 우이천로 308 (쌍문동),의료법인한전의료재단 한일병원,도봉구,37.6500586,127.0262078
34,서울특별시 성동구 왕십리로 222-1 (사근동),한양대학교병원,성동구,37.5622917,127.0468607
35,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",서울성심병원,동대문구,37.5841451,127.0498231
36,서울특별시 동대문구 왕산로 180 (전농동),가톨릭대학교성바오로병원,동대문구,37.579203,127.0434762
37,서울특별시 동대문구 경희대로 23 (회기동),경희대학교병원,동대문구,37.5953632,127.0527612
38,서울특별시 동대문구 무학로 124 (용두동),서울특별시 동부병원,동대문구,37.575312,127.03151
39,서울특별시 동대문구 망우로 82 (휘경동),삼육서울병원,동대문구,37.5892778,127.0645418
40,서울특별시 강서구 하늘길 70 (과해동),우리들병원,강서구,37.5613129,126.79761
41,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",부민병원,강서구,37.556895,126.850927
42,서울특별시 강서구 강서로 295 (내발산동),미즈메디병원,강서구,37.5521496,126.8359888
43,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",재단법인베스티안재단베스티안서울병원,강남구,37.498017,127.057186
44,서울특별시 광진구 능동로 120-1 (화양동),건국대학교병원,광진구,37.5448937,127.0713093
45,서울특별시 광진구 자양로 85 (자양동),혜민병원,광진구,37.53519,127.0833838
