location,name,gu,위도,경도
서울특별시 은평구 은평로 111,이마트 은평점,은평구,37.6007771,126.9204992
서울특별시 중구 청계천로 400,이마트 청계천점,중구,37.5708733,127.0213284
서울특별시 마포구 백범로 212,이마트마포공덕점,마포구,37.5424268,126.9533694
서울특별시 강서구 양천로 559,이마트가양점,강서구,37.5578966,126.8622978
서울특별시 용산구 한강대로23길 55,이마트용산점,용산구,37.5288539,126.9640447
서울특별시 성동구 뚝섬로 379,이마트 성수점,성동구,37.5399389,127.0531674
서울특별시 구로구 디지털로32길 43,이마트 구로점,구로구,37.4843537,126.89788
서울특별시 성동구 왕십리광장로 17,이마트 왕십리점,성동구,37.5621482,127.0379421
서울특별시 중랑구 상봉로 118,이마트 상봉점,중랑구,37.596438,127.0935903
서울특별시 양천구 오목로 299,이마트 목동점,양천구,37.5257763,126.8703272
서울특별시 영등포구 영중로 15,이마트 영등포점,영등포구,37.517007,126.9041419
서울특별시 구로구 디지털로32길 43,이마트 구로점,구로구,37.4843537,126.89788
서울특별시 광진구 아차산로 272,이마트 자양점,광진구,37.5376127,127.0726183
서울특별시 노원구 마들로3길 15,이마트월계점,노원구,37.62644,127.0619091
서울특별시 강동구 천호대로 1017,이마트 천호점,강동구,37.5386477,127.1253669
서울특별시 송파구 충민로 10,이마트 가든파이브점,송파구,37.4782316,127.1193703
서울특별시 성북구 종암로 167,이마트 하월곡점,성북구,37.602119,127.0332133
서울특별시 강동구 고덕로 276,이마트 명일점,강동구,37.5546516,127.1557517
서울특별시 중랑구 동일로 932,이마트 묵동점,중랑구,37.613797,127.0775029
서울특별시 성북구 도봉로 17,이마트 미아점,성북구,37.6108648,127.0296051
서울특별시 서초구 매헌로 16,이마트 양재점,서초구,37.4665323,127.0355485
서울특별시 구로구 새말로 97,이마트 신도림점,구로구,37.5070431,126.8902185
서울특별시 영등포구 여의동로3길 10,이마트 여의도점,영등포구,37.5181371,126.9261297
서울특별시 도봉구 노해로65길 4,이마트 창동점,도봉구,37.6516821,127.046933
서울특별시 동작구 사당로 300,이마트 이수점,동작구,37.4843975,126.9804278
서울특별시 도봉구 노해로65길 4,이마트 창동점,도봉구,37.6516821,127.046933
서울특별시 강남구 광평로 280,이마트 수서점,강남구,37.4872829,127.1031088
서울특별시 은평구 수색로 217,이마트 수색점,은평구,37.5795991,126.8987214
서울특별시 양천구 화곡로 59,이마트 신월점,양천구,37.5397142,126.8285127
서울특별시 동대문구 이문로 136 ,이마트 이문점,동대문구,37.5984506,127.0618484
서울특별시 성동구 뚝섬로 377,이마트본사,성동구,37.5399389,127.0531674
서울특별시 광진구 강변역로 50-0,롯데마트 강변점,광진구,37.5333713,127.0933675
서울특별시 구로구 경인로 482,롯데마트 구로점,구로구,37.4982529,126.8727381
서울특별시 강서구 하늘길 77,롯데마트 김포공항점,강서구,37.5667733,126.8025118
서울특별시 강북구 삼양로 247,롯데마트 삼양점,강북구,37.6254731,127.0177185
서울특별시 중구 청파로 426,롯데마트 서울역점,중구,37.5574069,126.9694999
서울특별시 송파구 중대로 80,롯데마트 송파점,송파구,37.4917416,127.1178672
서울특별시 송파구 올림픽로 240,롯데마트 잠실점,송파구,37.5112348,127.0980274
서울특별시 노원구 노원로 330,롯데마트 중계점,노원구,37.6466623,127.0709672
서울특별시 동대문구 왕산로 214,롯데마트 청량리점,동대문구,37.5792928,127.0479007
서울특별시 성동구 행당로 82,롯데마트 행당역점,성동구,37.5559126,127.0290958
서울특별시 강동구 양재대로 1571,홈플러스 강동점,강동구,37.5456582,127.1422439
서울특별시 강서구 화곡로 398,홈플러스 강서점,강서구,37.5584359,126.8547981
서울특별시 마포구 월드컵로 240,홈플러스 월드컵점,마포구,37.5677584,126.8981147
서울특별시 금천구 시흥대로 391,홈플러스 금천점,금천구,37.4686493,126.8968106
서울특별시 영등포구 당산로 42,홈플러스 영등포점,영등포구,37.5302698,126.9017353
서울특별시 송파구 올림픽로35가길 16,홈플러스 잠실점,송파구,37.5162099,127.1030143
서울특별시 중랑구 망우로 353,홈플러스 상봉점,중랑구,37.5977195,127.0932913
서울특별시 동대문구 천호대로,홈플러스 동대문점,동대문구,37.5690448,127.044881
서울특별시 도봉구 도봉로 678,홈플러스 방학점,도봉구,37.6648183,127.0435994
서울특별시 송파구 올림픽로35가길 16,홈플러스 잠실점,송파구,37.5162099,127.1030143
서울특별시 구로구 경인로 661,홈플러스 신도림점,구로구,37.5093957,126.8877258
서울특별시 중랑구 망우로 353,홈플러스 상봉점,중랑구,37.5977195,127.0932913
서울특별시 강서구 양천로 431,홈플러스 가양점,강서구,37.5642454,126.8499416
서울특별시 동대문구 천호대로,홈플러스 동대문점,동대문구,37.5690448,127.044881
서울특별시 마포구 양화로 45,홈플러스 합정점,마포구,37.5489656,126.9134767
서울특별시 도봉구 도봉로 678,홈플러스 방학점,도봉구,37.6648183,127.0435994
서울특별시 양천구 목동서로 170,홈플러스 목동점,양천구,37.5302083,126.8732314
서울특별시 구로구 경인로 661,홈플러스 신도림점,구로구,37.5093957,126.8877258
서울특별시 노원구 동일로204가길 12,홈플러스 중계점,노원구,37.639815,127.0686402
서울특별시 관악구 과천대로 909,홈플러스남현점,관악구,37.471482,126.9826404
서울특별시 금천구 시흥대로 201,홈플러스 시흥점,금천구,37.4519767,126.900714
서울특별시 중랑구 신내로 201,홈플러스 신내점,중랑구,37.6157539,127.0937534
서울특별시 중랑구 사가정로 332,홈플러스 면목점,중랑구,37.5808178,127.0798833
