기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2018	합계	합계	계	10,049,607	333,043	372,029	384,062	484,736	701,582	822,598	760,647	842,013	753,996	882,406	798,088	812,567	685,709	471,878	373,369	289,214	164,850	74,569	27,874	8,515	5,862
2018	합계	합계	한국인	9,765,623	324,470	365,898	380,366	474,755	658,915	790,875	730,349	818,421	734,337	856,037	766,952	780,002	673,949	468,466	372,218	288,607	164,475	74,394	27,804	8,490	5,843
2018	합계	합계	외국인	283,984	8,573	6,131	3,696	9,981	42,667	31,723	30,298	23,592	19,659	26,369	31,136	32,565	11,760	3,412	1,151	607	375	175	70	25	19
2018	종로구	소계	계	163,026	4,041	4,871	5,416	7,851	14,485	13,804	11,150	11,571	10,781	14,163	13,355	13,587	11,209	7,755	6,596	5,964	3,549	1,686	692	269	231
2018	종로구	소계	한국인	153,065	3,873	4,715	5,316	7,067	11,176	12,589	10,348	10,883	10,259	13,590	12,787	12,957	10,933	7,648	6,569	5,948	3,538	1,678	691	269	231
2018	종로구	소계	외국인	9,961	168	156	100	784	3,309	1,215	802	688	522	573	568	630	276	107	27	16	11	8	1	-	-
2018	종로구	사직동	계	9,818	302	377	385	410	516	662	738	793	769	879	781	776	667	462	412	380	290	129	50	23	17
2018	종로구	사직동	한국인	9,546	293	371	378	402	506	645	695	741	735	847	759	762	656	458	412	379	289	128	50	23	17
2018	종로구	사직동	외국인	272	9	6	7	8	10	17	43	52	34	32	22	14	11	4	-	1	1	1	-	-	-
2018	종로구	삼청동	계	3,073	71	100	115	127	175	192	206	258	209	231	231	271	253	168	157	136	89	52	19	6	7
2018	종로구	삼청동	한국인	2,836	62	76	102	116	169	179	190	231	177	215	216	251	231	161	154	136	86	52	19	6	7
2018	종로구	삼청동	외국인	237	9	24	13	11	6	13	16	27	32	16	15	20	22	7	3	-	3	-	-	-	-
2018	종로구	부암동	계	10,537	221	360	443	527	863	796	652	758	717	975	889	836	758	477	443	373	244	126	51	18	10
2018	종로구	부암동	한국인	10,149	220	358	441	515	702	722	598	722	705	961	881	833	755	475	440	373	244	125	51	18	10
