"메인 키","기관 코드","유형1","유형2","대표 기관명","전체 기관명","최하위 기관명","대표 전화번호","새 우편번호","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST31-0307","3070048","지자체","8읍면동_동","서울특별시","서울특별시 성북구 돈암2동주민센터","돈암2동주민센터","02-2241-5160","02825","","서울특별시 성북구 흥천사길 7 (돈암동)","서울특별시","성북구","돈암2동"
"BE_LiST31-0308","3070143","지자체","8읍면동_동","서울특별시","서울특별시 성북구 동선동주민센터","동선동주민센터","02-2241-5080","02840","","서울특별시 성북구 동소문로26길 27 (동선동)","서울특별시","성북구","동선동"
"BE_LiST31-0309","3070050","지자체","8읍면동_동","서울특별시","서울특별시 성북구 보문동주민센터","보문동주민센터","02-2241-5240","02859","","서울특별시 성북구 보문동7가 108-1 (보문동)","서울특별시","성북구","보문동"
"BE_LiST31-0310","3070142","지자체","8읍면동_동","서울특별시","서울특별시 성북구 삼선동주민센터","삼선동주민센터","02-2241-5040","02847","","서울특별시 성북구 보문로 190 (삼선동)","서울특별시","성북구","삼선동"
"BE_LiST31-0485","3010033","지자체","보건_보건소","서울특별시","서울특별시 중구 보건소","보건소","02-3396-5555","04611","","서울특별시 중구 다산로 39길 16 (무학동)","서울특별시","중구","신당동"
"BE_LiST31-0486","3200213","지자체","보건_보건지소","서울특별시","서울특별시 관악구 보건소 보건지소","보건지소","02-879-7407","08720","","서울특별시 관악구 관악로 279-7","서울특별시","관악구","낙성대동"
"BE_LiST31-0487","3040171","지자체","보건_보건지소","서울특별시","서울특별시 광진구 보건소 보건지소","보건지소","02-450-1424","04922","","서울특별시 광진구 긴고랑로 110 (중곡동)","서울특별시","광진구","중곡2동"
"BE_LiST31-0488","3100206","지자체","보건_보건지소","서울특별시","서울특별시 노원구 보건소 공릉보건지소","공릉보건지소","02-2116-4974","01818","","서울특별시 노원구 공릉로 166-1 (공릉동)","서울특별시","노원구","공릉2동"
"BE_LiST31-0489","3100209","지자체","보건_보건지소","서울특별시","서울특별시 노원구 보건소 상계보건지소","상계보건지소","02-2116-4987","01696","","서울특별시 노원구 상계로 118 (상계동)","서울특별시","노원구","상계2동"
"BE_LiST31-0490","3100205","지자체","보건_보건지소","서울특별시","서울특별시 노원구 보건소 월계보건지소","월계보건지소","02-2116-4583","01905","","서울특별시 노원구 월계로 378 (월계동)","서울특별시","노원구","월계3동"
"BE_LiST31-0491","3090147","지자체","보건_보건지소","서울특별시","서울특별시 도봉구 보건소 보건지소","보건지소","02-2091-5451","01466","","서울특별시 도봉구 덕릉로59길73-3 (창동)","서울특별시","도봉구","창4동"
"BE_LiST31-0492","3120173","지자체","보건_보건지소","서울특별시","서울특별시 서대문구 보건소 가좌보건지소","가좌보건지소","02-3140-8357","03709","","서울특별시 서대문구 수색로100-55 (북가좌동)","서울특별시","서대문구","천연동"
"BE_LiST31-0493","3210172","지자체","보건_보건지소","서울특별시","서울특별시 서초구 보건소 방배보건지소","방배보건지소","02-2155-8151","06572","","서울특별시 서초구 방배로 173","서울특별시","서초구","방배4동"
"BE_LiST31-0494","3070195","지자체","보건_보건지소","서울특별시","서울특별시 성북구 보건소 보건지소","보건지소","02-2241-6210","02830","","서울특별시 성북구 아리랑로 3길 8 (동소문동 6가)","서울특별시","성북구","동선동"
"BE_LiST31-0495","3230182","지자체","보건_보건지소","서울특별시","서울특별시 송파구 보건소 보건지소","보건지소","02-2147-4843","05771","","서울특별시 송파구 양산로 5 (거여동)","서울특별시","송파구","거여1동"
"BE_LiST31-0496","3110190","지자체","보건_보건지소","서울특별시","서울특별시 은평구 보건소 보건지소","보건지소","02-351-8652","03347","","서울특별시 은평구 연서로34길 11 (불광동)","서울특별시","은평구","불광2동"
"BE_LiST31-0497","6110582","지자체","소방_소방서","서울특별시","서울특별시 강남소방서","강남소방서","02-553-2247","06171","","서울특별시 강남구 테헤란로 629 (삼성동)","서울특별시","강남구","삼성1동"
"BE_LiST31-0498","6110586","지자체","소방_소방서","서울특별시","서울특별시 강동소방서","강동소방서","02-470-0119","05397","","서울특별시 강동구 성내로 39 (성내동)","서울특별시","강동구","성내1동"
"BE_LiST31-0499","6113071","지자체","소방_소방서","서울특별시","서울특별시 강북소방서","강북소방서","02-3492-3438","01334","","서울특별시 도봉구 도봉로 666","서울특별시","도봉구","방학1동"
"BE_LiST31-0500","6110585","지자체","소방_소방서","서울특별시","서울특별시 강서소방서","강서소방서","02-3663-0119","07550","","서울특별시 강서구 양천로 550","서울특별시","강서구","등촌1동"
"BE_LiST31-0501","6110584","지자체","소방_소방서","서울특별시","서울특별시 관악소방서","관악소방서","02-883-5119","08833","","서울특별시 관악구 관악로 97","서울특별시","관악구","청룡동"
"BE_LiST31-0502","6112407","지자체","소방_소방서","서울특별시","서울특별시 광진소방서","광진소방서","02-446-1385","05023","","서울특별시 광진구 광나루로 480","서울특별시","광진구","구의1동"
"BE_LiST31-0503","6110587","지자체","소방_소방서","서울특별시","서울특별시 구로소방서","구로소방서","02-2618-0119","08275","","서울특별시 구로구 경인로 408","서울특별시","구로구","고척1동"
"BE_LiST31-0504","6110579","지자체","소방_소방서","서울특별시","서울특별시 노원소방서","노원소방서","02-976-6119","01791","","서울특별시 노원구 한글비석로1길 8","서울특별시","노원구","하계1동"
"BE_LiST31-0505","6110578","지자체","소방_소방서","서울특별시","서울특별시 도봉소방서","도봉소방서","02-3492-3438","01334","","서울특별시 도봉구 도봉로 666","서울특별시","도봉구","방학1동"
