"콘텐츠 ID
(필수 입력)","사용유무
(필수입력)","콘텐츠명
(필수 입력)","서브카테고리 명
(선택 입력)","시군
(선택입력)","구명
(선택입력)","새주소[도로명 주소]
(조건부 선택 입력)",지번주소,키워드,"다국어
(필수 입력)","좌표[X]
(조건부 선택 입력)","좌표[Y]
(조건부 선택 입력)","공간객체타입
(조건부 선택 입력)","라인 색상
(조건부 선택 입력)","라인 패턴
(조건부 선택 입력)","라인두께
(조건부 선택)","전화번호
(선택 입력)","웹URL
(선택 입력)","동영상 웹 링크 URL
(선택 입력)","음성파일 웹 링크 URL
(선택 입력)","사진 정보1[URL or 파일명]
(선택 입력)","사진 정보2[URL or 파일명]
(선택 입력)","사진 정보3[URL or 파일명]
(선택 입력)","사진 정보4[URL or 파일명]
(선택 입력)","사진 정보5[URL or 파일명]
(선택 입력)","상세 제목1
(선택 입력)","상세 내용1
(선택 입력)","상세 제목2
(선택 입력)","상세 내용2
(선택 입력)","상세 제목3
(선택 입력)","상세 내용3
(선택 입력)","상세 제목4
(선택 입력)","상세 내용4
(선택 입력)","상세 제목5
(선택 입력)","상세 내용5
(선택 입력)","상세 제목6
(선택 입력)","상세 내용6
(선택 입력)","상세 제목7
(선택 입력)","상세 내용7
(선택 입력)","상세 제목13
(선택 입력)","상세 내용13
(선택 입력)","상세 제목14
(선택 입력)","상세 내용14
(선택 입력)","상세 제목15
(선택 입력)","상세 내용15
(선택 입력)","상세 제목16
(선택 입력)","상세 내용16
(선택 입력)","상세 제목17
(선택 입력)","상세 내용17
(선택 입력)","상세 제목18
(선택 입력)","상세 내용18
(선택 입력)","상세 제목19
(선택 입력)","상세 내용19
(선택 입력)","상세 제목20
(선택 입력)","상세 내용20
(선택 입력)"
Sijang_yongsan_008,Y,이태원제일시장,일반시장,,용산구,녹사평대로52길 19,용산구 이태원동 274-4,,KOR,126.988281701,37.539030867,1,#0000FF,L,4,,,,,http://economy.seoul.go.kr/files/2015/07/559c8629385f40.79655467.jpg,,,,,,,면적(㎡),1060,점포수(개),10,형태(골목/건물/상점가),골목형,취급상품(일반/전문),일반시장,대표상품,한신정육점,주변 버스정류소,시장(03-516) - (마을)용산03,,,,,,,,,,,,,,,,
Sijang_yongsan_007,Y,이촌종합시장,일반시장,,용산구,이촌로75길 16-9,용산구 이촌동 301-154,,KOR,126.974828419,37.520735983,1,#0000FF,L,4,794-1555,,,,http://economy.seoul.go.kr/files/2015/07/559c82ac88e6e4.59906774.jpg,,,,,,,면적(㎡),5122,점포수(개),104,형태(골목/건물/상점가),골목형,취급상품(일반/전문),일반시장,,,주변 버스정류소,"신용산초등학교(03-219) - (간선)100, (지선)2016, 3012, 6211",,,,,,,,,,,,,,,,
Sijang_yongsan_006,Y,신흥시장,일반시장,,용산구,신흥로 95-9,용산구 용산동2가 1-480,,KOR,126.985048879,37.545289035,1,#0000FF,L,4,754-7389,,,,http://economy.seoul.go.kr/files/2015/07/559c852fe6d3b4.66923327.jpg,,,,,,,면적(㎡),3304,점포수(개),38,형태(골목/건물/상점가),골목형,취급상품(일반/전문),일반시장,,,주변 버스정류소,해방촌오거리(03-517) - (마을)용산02,,,,,,,,,,,,,,,,
Sijang_yongsan_005,Y,용문전통시장,일반시장,,용산구,효창원로40길 13,용산구 용문동 41-44,,KOR,126.959807337,37.536623074,1,#0000FF,L,4,,,,,http://economy.seoul.go.kr/files/2015/06/559c8203aa04e3.35146745.jpg,,,,,,,면적(㎡),6470,점포수(개),149,형태(골목/건물/상점가),골목형,취급상품(일반/전문),일반시장,대표상품,"방앗간, 반찬",주변 버스정류소,"용문시장(03-247) - (지선)0017, 1700, (마을)용산04",,,,,,,,,,,,,,,,
Sijang_yongsan_004,Y,후암시장,일반시장,,용산구,한강대로104길 77,용산구 후암동 103-25,,KOR,126.97641859,37.550194801,1,#0000FF,L,4,754-5114,,,,http://economy.seoul.go.kr/files/2015/07/559c8354598f44.70641294.jpg,,,,,,,면적(㎡),1141,점포수(개),50,형태(골목/건물/상점가),골목형,취급상품(일반/전문),일반시장,,,주변 버스정류소,"후암시장(03-200) - (간선)400, 605",,,,,,,,,,,,,,,,
Sijang_yongsan_003,Y,만리시장,일반시장,,용산구,효창원로 270,용산구 서계동 260-1,,KOR,126.963570059,37.551208693,1,#0000FF,L,4,714-2559,,,,http://economy.seoul.go.kr/files/2015/07/559c83f90bfc70.24046915.jpg,,,,,,,면적(㎡),7682,점포수(개),31,형태(골목/건물/상점가),건물형,취급상품(일반/전문),일반시장,,,주변 버스정류소,만리시장입구(03-700) - (마을)용산04,,,,,,,,,,,,,,,,
Sijang_yongsan_002,Y,보광시장,일반시장,,용산구,보광로 30,용산구 보광동 260-8,,KOR,127.00027061,37.527190224,1,#0000FF,L,4,749-6464,,,,http://economy.seoul.go.kr/files/2015/07/559c8597c5edf4.36394050.jpg,,,,,,,면적(㎡),3352,점포수(개),17,형태(골목/건물/상점가),건물형,취급상품(일반/전문),일반시장,,,주변 버스정류소,"보광동주민센터(03-278) - (간선)400, 405, 421",,,,,,,,,,,,,,,,
Sijang_yongsan_001,Y,이태원시장,전문시장,,용산구,이태원로14길 6,용산구 이태원동 56-9,,KOR,126.990020219,37.533823118,1,#0000FF,L,4,794-5682,,,,http://economy.seoul.go.kr/files/2015/07/559c843f500f26.52268501.jpg,,,,,,,면적(㎡),4484,점포수(개),84,형태(골목/건물/상점가),건물형,취급상품(일반/전문),"전문시장(의류, 신발, 액세서리)",대표상품,의류,주변 버스정류소,"용산구청,이태원시장(03-189) - (간선)110B , 421 , (순환)03",,,,,,,,,,,,,,,,
Sijang_ydp_025,Y,영등포시장기계공구상가,전문시장,,영등포구,영중로14길 48,영등포구 영등포동2가 167-1,,KOR,126.910416522,37.519242497,1,#0000FF,L,4,2635-8005,,,,http://www.ydp.go.kr/upload/market/img_d060010020_060.jpg,,,,,,,면적(㎡),41693,점포수(개),369,형태(골목/건물/상점가),상점가,취급상품(일반/전문),"전문시장(기계, 공구)",,,주변 버스정류소,구명화극장(19-557) - (마을)영등포03,,,,,,,,,,,,,,,,
Sijang_ydp_024,Y,영등포로타리지하도상점가,일반시장,,영등포구,영등포구 영등포동3가 441,영등포구 영등포구 영등포동3가 441,,KOR,126.906033764,37.517700862,1,#0000FF,L,4,2631-1248,,,,,,,,,,,면적(㎡),6325,점포수(개),133,형태(골목/건물/상점가),지하도상가,취급상품(일반/전문),일반시장,,,주변 버스정류소,"경방타임스퀘어,신세계백화점(19-112) - (간선)605 , 661 , 670 , 760 , (지선)5714 , 6628 , 6630 , 6631 , 6637 , 6640B , (마을)영등포03, 영등포04",,,,,,,,,,,,,,,,
