"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20190410","중앙선","지평","64","43","20190413"
"20190410","중앙선","용문","2958","2938","20190413"
"20190410","중앙선","원덕","389","356","20190413"
"20190410","중앙선","양평","3117","3267","20190413"
"20190410","중앙선","오빈","321","295","20190413"
"20190410","중앙선","아신","748","766","20190413"
"20190410","중앙선","국수","908","787","20190413"
"20190410","중앙선","신원","176","161","20190413"
"20190410","중앙선","양수","1857","1842","20190413"
"20190410","중앙선","운길산","692","649","20190413"
"20190410","중앙선","팔당","715","675","20190413"
"20190410","중앙선","도심","3196","2504","20190413"
"20190410","중앙선","덕소","6826","6805","20190413"
"20190410","중앙선","양정","997","842","20190413"
"20190410","중앙선","도농","11225","9823","20190413"
"20190410","중앙선","구리","15804","16277","20190413"
"20190410","중앙선","양원","2034","2185","20190413"
"20190410","중앙선","망우","8940","8815","20190413"
"20190410","중앙선","상봉(시외버스터미널)","6218","5935","20190413"
"20190410","중앙선","중랑","6488","6075","20190413"
"20190410","중앙선","회기","34970","34242","20190413"
"20190410","장항선","신창(순천향대)","3160","2924","20190413"
"20190410","장항선","온양온천","4520","4592","20190413"
"20190410","장항선","배방","1052","1016","20190413"
"20190410","장항선","아산","3395","2857","20190413"
"20190410","장항선","쌍용(나사렛대)","3355","3090","20190413"
"20190410","장항선","봉명","1551","1500","20190413"
"20190410","일산선","대화","17204","13356","20190413"
"20190410","일산선","주엽","11233","11787","20190413"
"20190410","일산선","정발산","8831","9260","20190413"
"20190410","일산선","마두","9577","10049","20190413"
"20190410","일산선","백석","12517","12376","20190413"
"20190410","일산선","대곡","2059","1599","20190413"
"20190410","일산선","화정","21980","22795","20190413"
"20190410","일산선","원당","13458","12884","20190413"
"20190410","일산선","삼송","18887","17918","20190413"
"20190410","일산선","원흥","10079","9261","20190413"
"20190410","우이신설선","신설동","2277","2353","20190413"
"20190410","우이신설선","보문","1857","1961","20190413"
"20190410","우이신설선","성신여대입구(돈암)","4133","4466","20190413"
"20190410","우이신설선","정릉","4929","4550","20190413"
"20190410","우이신설선","북한산보국문","7111","6576","20190413"
